policy_tenure,age_of_car,age_of_policyholder,area_cluster,population_density,make,segment,model,ncap_rating,is_parking_sensors,target
54,63,37,21,17804,3,4,5,3,1,0
36,8,42,15,4076,1,0,0,0,1,0
79,4,37,17,34738,1,0,0,0,1,0
46,0,37,21,17804,1,1,9,2,1,0
66,63,36,1,73430,3,4,5,3,1,0
92,75,43,20,8794,1,2,8,0,1,0
7,8,54,0,4990,1,2,7,2,1,0
91,33,29,20,8794,3,4,5,3,1,0
92,4,31,11,27003,1,0,0,0,1,0
24,16,41,10,27742,3,4,5,3,1,0
92,37,46,17,34738,3,4,5,3,1,1
95,25,51,11,27003,1,3,3,2,1,0
104,54,44,20,8794,3,4,5,3,1,0
23,46,35,15,4076,5,3,10,4,1,0
10,0,23,15,4076,1,0,0,0,1,1
81,0,47,2,6108,1,0,0,0,1,0
2,58,26,11,27003,1,1,9,2,1,0
7,71,26,17,34738,4,2,6,5,1,0
1,25,30,20,8794,3,4,5,3,1,0
3,4,35,7,16206,1,0,0,0,1,0
26,4,46,1,73430,1,0,0,0,1,0
1,37,30,4,5410,3,4,5,3,1,0
1,12,30,1,73430,4,2,6,5,1,0
85,46,35,2,6108,5,3,10,4,1,0
48,46,45,1,73430,1,1,9,2,1,0
102,16,39,1,73430,1,0,0,0,1,0
2,8,23,15,4076,1,0,0,0,1,0
100,8,50,5,7788,1,2,7,2,1,0
11,4,23,1,73430,1,0,0,0,1,0
9,16,46,5,7788,1,0,0,0,1,0
11,4,50,17,34738,1,0,0,0,1,0
63,37,27,17,34738,2,0,4,2,0,0
102,37,28,5,7788,1,2,8,0,1,0
6,46,28,17,34738,1,2,7,2,1,0
21,33,39,11,27003,1,0,0,0,1,0
93,58,42,20,8794,3,4,5,3,1,0
14,92,54,20,8794,3,4,5,3,1,0
67,37,43,20,8794,3,4,5,3,1,0
96,25,23,20,8794,1,1,9,2,1,0
93,42,34,11,27003,1,3,3,2,1,0
87,58,28,3,34791,1,2,7,2,1,0
93,4,30,20,8794,1,1,9,2,1,0
2,12,51,10,27742,3,4,5,3,1,0
3,12,29,17,34738,1,0,0,0,1,0
97,12,40,20,8794,1,1,9,2,1,0
95,16,41,7,16206,1,0,0,0,1,0
2,4,24,15,4076,1,0,0,0,1,0
65,8,31,1,73430,1,0,0,0,1,0
21,42,46,17,34738,1,3,3,2,1,0
16,37,26,11,27003,1,2,7,2,1,0
97,8,48,20,8794,1,2,7,2,1,0
37,12,47,21,17804,1,0,0,0,1,0
93,21,36,5,7788,1,2,7,2,1,0
90,75,43,5,7788,1,2,7,2,1,0
13,29,24,11,27003,1,2,8,0,1,0
2,4,26,20,8794,3,4,5,3,1,0
39,8,40,17,34738,1,0,0,0,1,0
14,50,28,17,34738,1,2,7,2,1,0
7,8,26,21,17804,3,4,5,3,1,0
87,96,56,20,8794,1,1,9,2,1,0
71,37,32,17,34738,1,0,0,0,1,0
0,8,38,11,27003,3,4,5,3,1,0
43,37,46,11,27003,3,4,5,3,1,0
98,21,32,20,8794,1,2,7,2,1,0
7,8,38,5,7788,1,0,0,0,1,0
87,54,57,20,8794,1,2,7,2,1,0
40,58,33,11,27003,1,2,7,2,1,0
97,46,25,0,4990,5,3,10,4,1,0
32,12,24,17,34738,1,0,0,0,1,0
68,42,66,20,8794,3,4,5,3,1,1
11,16,29,11,27003,3,4,5,3,1,0
